step,time,ResidMax,ResidRMS,DilMax,IntDiv,IntAbsDiv,dt
225,2.18750000,0.27211447,0.10455142,2.79413692,-0.19966399,0.21139892,0.00972222
226,2.19722222,0.27037902,0.10387937,2.79079675,-0.19969537,0.21139633,0.00972222
227,2.20694444,0.26868805,0.10321661,2.78745317,-0.19972589,0.21139186,0.00972222
228,2.21666667,0.26700533,0.10256299,2.78410834,-0.19975556,0.21138534,0.00972222
229,2.22638889,0.26531928,0.10191839,2.78076452,-0.19978440,0.21137967,0.00972222
230,2.23611111,0.26365005,0.10128266,2.77742413,-0.19981242,0.21137137,0.00972222
231,2.24583333,0.26200488,0.10065565,2.77408966,-0.19983966,0.21135992,0.00972222
232,2.25555556,0.26040066,0.10003720,2.77076373,-0.19986612,0.21135002,0.00972222
233,2.26527778,0.25880104,0.09942714,2.76744901,-0.19989183,0.21133704,0.00972222
234,2.27500000,0.25720467,0.09882529,2.76414829,-0.19991680,0.21132075,0.00972222
235,2.28472222,0.25561732,0.09823147,2.76086439,-0.19994105,0.21130524,0.00972222
236,2.29444444,0.25406449,0.09764549,2.75760020,-0.19996460,0.21128703,0.00972222
237,2.30416667,0.25254546,0.09706717,2.75435863,-0.19998746,0.21126586,0.00972222
238,2.31388889,0.25103539,0.09649631,2.75114266,-0.20000965,0.21124457,0.00972222
239,2.32361111,0.24953217,0.09593270,2.74795525,-0.20003118,0.21122113,0.00972222
240,2.33333333,0.24802852,0.09537615,2.74479940,-0.20005208,0.21119524,0.00972222
241,2.34305556,0.24655481,0.09482647,2.74167807,-0.20007235,0.21116883,0.00972222
242,2.35277778,0.24510547,0.09428345,2.73859423,-0.20009202,0.21114044,0.00972222
243,2.36250000,0.24364592,0.09374689,2.73555084,-0.20011109,0.21111043,0.00972222
244,2.37222222,0.24216542,0.09321660,2.73255078,-0.20012958,0.21107995,0.00972222
245,2.38194444,0.24073963,0.09269239,2.72959693,-0.20014751,0.21104769,0.00972222
246,2.39166667,0.23930744,0.09217408,2.72669209,-0.20016489,0.21101467,0.00972222
247,2.40138889,0.23784989,0.09166149,2.72383900,-0.20018173,0.21098148,0.00972222
248,2.41111111,0.23640975,0.09115443,2.72104033,-0.20019805,0.21094718,0.00972222
249,2.42083333,0.23500677,0.09065276,2.71829867,-0.20021386,0.21091288,0.00972222
250,2.43055556,0.23357837,0.09015631,2.71561651,-0.20022917,0.21087924,0.00972222
251,2.44027778,0.23212580,0.08966494,2.71299627,-0.20024400,0.21084548,0.00972222
252,2.45000000,0.23074313,0.08917849,2.71044022,-0.20025835,0.21081284,0.00972222
253,2.45972222,0.22933105,0.08869685,2.70795057,-0.20027225,0.21078224,0.00972222
254,2.46944444,0.22788901,0.08821989,2.70552939,-0.20028569,0.21075301,0.00972222
255,2.47916667,0.22650587,0.08774750,2.70317862,-0.20029870,0.21072633,0.00972222
256,2.48888889,0.22510878,0.08727958,2.70090009,-0.20031129,0.21070274,0.00972222
257,2.49861111,0.22368132,0.08681604,2.69869548,-0.20032346,0.21068079,0.00972222
258,2.50833333,0.22229603,0.08635679,2.69656636,-0.20033523,0.21065925,0.00972222
259,2.51805556,0.22091312,0.08590176,2.69451415,-0.20034661,0.21063815,0.00972222
260,2.52777778,0.21949971,0.08545089,2.69254012,-0.20035760,0.21061664,0.00972222
261,2.53750000,0.21811529,0.08500412,2.69064542,-0.20036822,0.21059515,0.00972222
262,2.54722222,0.21674618,0.08456139,2.68883102,-0.20037849,0.21057398,0.00972222
263,2.55694444,0.21534676,0.08412268,2.68709777,-0.20038840,0.21055250,0.00972222
264,2.56666667,0.21396585,0.08368793,2.68544637,-0.20039797,0.21053100,0.00972222
265,2.57638889,0.21261058,0.08325714,2.68387737,-0.20040721,0.21050983,0.00972222
266,2.58611111,0.21122541,0.08283026,2.68239118,-0.20041612,0.21048844,0.00972222
267,2.59583333,0.20985128,0.08240729,2.68098804,-0.20042472,0.21046759,0.00972222
268,2.60555556,0.20851103,0.08198821,2.67966808,-0.20043301,0.21044820,0.00972222
269,2.61527778,0.20714068,0.08157300,2.67843125,-0.20044101,0.21042974,0.00972222
270,2.62500000,0.20577654,0.08116167,2.67727739,-0.20044872,0.21041231,0.00972222
271,2.63472222,0.20445007,0.08075420,2.67620619,-0.20045615,0.21039625,0.00972222
272,2.64444444,0.20309437,0.08035059,2.67521719,-0.20046331,0.21038075,0.00972222
273,2.65416667,0.20174012,0.07995083,2.67430982,-0.20047020,0.21036544,0.00972222
274,2.66388889,0.20042836,0.07955493,2.67348336,-0.20047683,0.21035088,0.00972222
275,2.67361111,0.19908840,0.07916287,2.67273699,-0.20048321,0.21033633,0.00972222
276,2.68333333,0.19774540,0.07877466,2.67206974,-0.20048935,0.21032131,0.00972222
277,2.69305556,0.19644946,0.07839029,2.67148054,-0.20049526,0.21030632,0.00972222
278,2.70277778,0.19512649,0.07800974,2.67096820,-0.20050094,0.21029077,0.00972222
279,2.71250000,0.19379580,0.07763302,2.67053144,-0.20050639,0.21027412,0.00972222
280,2.72222222,0.19251690,0.07726011,2.67016886,-0.20051163,0.21025692,0.00972222
281,2.73194444,0.19121227,0.07689100,2.66987896,-0.20051665,0.21023871,0.00972222
282,2.74166667,0.18989466,0.07652566,2.66966016,-0.20052148,0.21021898,0.00972222
283,2.75138889,0.18863414,0.07616409,2.66951080,-0.20052610,0.21019810,0.00972222
284,2.76111111,0.18735016,0.07580626,2.66942911,-0.20053054,0.21017591,0.00972222
285,2.77083333,0.18604682,0.07545214,2.66941328,-0.20053478,0.21015207,0.00972222
286,2.78055556,0.18480444,0.07510172,2.66946142,-0.20053885,0.21012692,0.00972222
287,2.79027778,0.18354500,0.07475496,2.66957156,-0.20054274,0.21010046,0.00972222
288,2.80000000,0.18226483,0.07441184,2.66974170,-0.20054646,0.21007201,0.00972222
